"PLAYERS","DFG","BOT                               GVR                               HSM                               JHN                               LGN                               LPT                               MAC                               SHF                               SRL                               UFA                               VPP                               ZSK","ANA                               BOS                               BUF                               CAR                               CBJ                               CGY                               CHI                               COL                               DAL                               DET                               EDM                               FLA                               LAK                               MIN                               MTL                               NJD                               NSH                               NYI                               NYR                               OTT                               PHI                               PIT                               SEA                               SJS                               STL                               TBL                               TOR                               UFA                               UTA                               VAN                               VGK                               WPG                               WSH","Age","Cap","GP","Pts","PPG"
"Claude Giroux                                3","F","MAC","OTT","38","$0.5","60","39","0.7"
"Erik Karlsson                                3","D","GVR","PIT","36","$3.1","55","39","0.7"
"Alexander Wennberg                                3","F","UFA","SJS","31","$0.5","59","39","0.7"
"Chandler Stephenson                                3","F","SRL","SEA","32","$0.5","59","39","0.7"
"JJ Peterka                                B","F","SRL","UTA","24","$1.4","61","39","0.6"
"Elias Lindholm                                3","F","VPP","BOS","31","$3.2","47","38","0.8"
"Alex Lyon                                3","G","UFA","BUF","33","$0.0","29","38","1.3"
"Jack Quinn                                B","F","VPP","BUF","24","$0.6","61","38","0.6"
"Jakub Dobes                                3","G","UFA","MTL","25","$0.0","29","38","1.3"
"J.T. Miller                                3","F","MAC","NYR","33","$4.9","51","38","0.7"
"Dan Vladar                                3","G","UFA","PHI","29","$0.5","36","38","1.1"
"Yaroslav Askarov                                B","G","GVR","SJS","24","$0.8","38","38","1.0"
"William Eklund                                A","F","LGN","SJS","23","$0.9","55","38","0.7"
"Tyler Toffoli                                3","F","MAC","SJS","34","$0.8","59","38","0.6"
"Matty Beniers                                A","F","LGN","SEA","23","$0.9","61","38","0.6"
"Pavel Buchnevich                                3","F","JHN","STL","31","$2.4","61","38","0.6"
"Akira Schmid                                3","G","JHN","VGK","26","$0.6","31","38","1.2"
"Jackson Blake                                3","F","SRL","CAR","23","$2.0","61","37","0.6"
"Mats Zuccarello                                3","F","SHF","MIN","39","$1.2","42","37","0.9"
"Linus Ullmark                                3","G","VPP","OTT","33","$3.5","33","37","1.1"
"Christian Dvorak                                3","F","UFA","PHI","30","$0.9","59","37","0.6"
"Vince Dunn                                3","D","ZSK","SEA","29","$2.1","60","37","0.6"
"Robert Thomas                                2","F","LGN","STL","27","$3.3","44","37","0.8"
"Elias Pettersson                                2","F","HSM","VAN","27","$3.1","53","37","0.7"
"Rasmus Andersson                                3","D","GVR","VGK","29","$1.0","61","36","0.6"
"Valeri Nichushkin                                3","F","SHF","COL","31","$1.1","51","36","0.7"
"Jacob Markstrom                                3","G","HSM","NJD","36","$3.3","34","36","1.1"
"Owen Tippett                                2","F","JHN","PHI","27","$0.9","60","36","0.6"
"Tristan Jarry                                3","G","SRL","EDM","31","$0.5","26","36","1.4"
"Brayden Point                                3","F","SRL","TBL","30","$6.8","41","36","0.9"
"Chris Kreider                                3","F","JHN","ANA","35","$2.4","55","35","0.6"
"Mikael Backlund                                3","F","UFA","CGY","37","$0.5","60","35","0.6"
"Andrew Copp                                3","F","UFA","DET","32","$1.4","62","35","0.6"
"Anders Lee                                3","F","UFA","NYI","36","$0.5","62","35","0.6"
"Anthony Cirelli                                3","F","SHF","TBL","29","$0.9","51","35","0.7"
"Oliver Ekman-Larsson                                3","D","SRL","TOR","35","$0.6","61","35","0.6"
"Filip Hronek                                3","D","HSM","VAN","28","$2.0","61","35","0.6"
"Mattias Samuelsson                                3","D","LPT","BUF","26","$0.6","59","34","0.6"
"Darcy Kuemper                                3","G","JHN","LAK","36","$3.7","37","34","0.9"
